# ticker  tier  industry
AAPL	1티어	빅테크
ABNB	2티어	소비/여행숙박
ACHR	3티어	모빌/드론
ACN	2티어	테크/경영컨설팅
AES	배당B	에너지/전력/친환경
AEVA	3티어	모빌/자율주행/LiDAR
ALAB 3티어 AI인프라
ALB 3티어 2차전지/소재
AM	배당B	물/수자원처리
AMD	1티어	테크/반도체
AMZN	1티어	테크/클라우드
ANET	처분	클라우드
APD	배당B	산업재/특수가스(산업용)
APP 3티어 소프트웨어
ARM	1티어	테크/반도체
AUR	3티어	모빌/자율주행기술
AVGO	1티어	테크/반도체
AWR	배당A	물/유틸리티
AXIA	3티어	에너지/수력화력발전
BATT	2티어	ETF/배터리
BE 2티어 에너지
BWXT 3티어 원전/방산
CAT	2티어	산업재/중장비/기계
CCCC	3티어	헬스/바이오신약
CEG	1티어	에너지/전력
COPX	2티어	ETF/원자재/구리광산
CPNG	2티어	소비/물류
CRDO 2티어 반도체팹리스
CRM	2티어	테크/SW
CRWD	2티어	테크/보안
CSCO	2티어	테크/보안
CVGI	3티어	모빌/상용차부품
CW	2티어	산업재/방산
CWT	배당A	물/유틸리티
DCO 3티어 항공우주/부품
DE 3티어 중장비
DG	2티어	소비/저가스토어
DIS	2티어	콘텐츠
DUK	배당A	에너지/종합
DUOL	3티어	콘텐츠
DVN	배당B	에너지/석유
ECL	2티어	물/화학/수처리솔루션
EMR	3티어	산업재/로봇/엔지니어링솔루션
ETN	배당A	산업재
EVRG	배당B	에너지/유틸리티
FNV 3티어 광산비즈니스
GCT	3티어	소비/이커머스/물류
GE 3티어 항공우주
GEV	1티어	에너지/전력/재생에너지
GLD	Hedge	ETF/금
GLW	2티어	테크/반도체/광통신/유리
GOOGL	1티어	빅테크
HON	2티어	산업재/종합부품
INTC	3티어	테크/반도체
JNJ	배당A	헬스/제약
JOBY	3티어	모빌/드론
KMI	배당A	에너지/가스판매
LEU	2티어	에너지/원전/저농축우라늄공급
LIN	배당A	산업재/특수가스(산업용)/세계1위산업가스
LITE	3티어	테크/반도체/실리콘포토닉스
LLY	2티어	헬스/제약
META	1티어	빅테크
MLPX	배당A	ETF/에너지
MP	3티어	에너지/원전/우라늄
MRNA	3티어	헬스/제약
MRVL	3티어	테크/반도체설계/포토닉스인수
MSFT	1티어	빅테크
NBIS	3티어	테크/AI인프라
NCNO	3티어	클라우드
NEE	배당A	에너지/친환경에너지
NFLX	2티어	콘텐츠
NKE	2티어	소비/의류
NOK	3티어	테크/통신
NTLA	3티어	헬스/바이오신약/게놈
NTRA	3티어	헬스/분자테스트/진단기기
NVDA	1티어	빅테크
NXT 3티어 에너지/신재생
OKE	배당A	에너지/천연가스채집개발
OKLO	2티어	에너지/원전/SMR
OUST	3티어	모빌/자율주행/LiDAR
OXY	배당B	에너지/화학
PANW	2티어	테크/보안
PFE	배당B	헬스/제약
PLTR	1티어	테크/방산
PLUG	3티어	에너지/인프라/수소에너지
PNR	2티어	물/산업 재/수처리
PR	배당B	에너지/석유
PSKY	3티어	콘텐츠
PSNY	3티어	모빌/전기차
PWR	1티어	에너지인프라/인프라1위
RBLX	3티어	콘텐츠/게임
RGTI 3티어 양자
REI	3티어	에너지/석유
RIVN	3티어	모빌/전기차
RZLV	처분	테크/SW
SCHD	배당A	ETF/배당
SGOV	채권	초단기국채
SIL	Hedge	ETF/원자재/은광산
SIRI	3티어	콘텐츠/위성라디오
SMR 3티어 에너지/원전
SNDK	3티어	테크/AI인프라/SSD
SNOW	2티어	클라우드/SW
SNY	처분	헬스/제약
SPOT	2티어	콘텐츠
SPXU	Hedge	ETF/지수
TER	2티어	테크/반도체장비/ROBOT
THC	3티어	헬스/제약
TM	2티어	모빌/자동차
TSLA	1티어	빅테크
TTE	배당A	에너지/종합
TTWO	2티어	콘텐츠/게임
UBER	2티어	모빌/운송/플랫폼
UPST	3티어	금융/서비스
UUUU	3티어	에너지/원전/우라늄
V	2티어	금융/카드/결제
VOO	1티어	ETF/지수
VRT	2티어	산업재/AI인프라
WAT	2티어	물/수질분석
WBD	3티어	콘텐츠
WBTN	3티어	콘텐츠
WMB	배당A	에너지/천연가스
WMG	3티어	콘텐츠/음원
WOLF	처분	테크/반도체/SIC반도체
XYL	2티어	물/산업 재/수도인프라
005930.KS	1티어	반도체
011070.KS	2티어	모듈/로봇부품/유리기판
263750.KQ	3티어	콘텐츠/게임
323410.KS	3티어	금융/은행
348210.KQ	3티어	반도체검사장비
377300.KS	3티어	금융/결제
373220.KS	2티어	2차전지
192820.KS	2티어	화장품
382900.KQ	3티어	수소
035420.KS	2티어	테크
064400.KS	2티어	로봇SI플랫폼
0072R0.KS	Hedge	ETF/금현물
114800.KS	Hedge	ETF/지수인버스
010120.KS 2티어 전력인프라
267260.KS 2티어 전력인프라
012330.KS 2티어 자동차/로봇부품
006400.KS 2티어 2차전지
196170.KQ 3티어 제약
298380.KQ 3티어 제약
108490.KQ 3티어 로봇
352820.KS 3티어 엔터
000270.KS 3티어 자동차
047810.KS 3티어 항공우주
042660.KS 2티어 조선
086790.KS 3티어 금융/은행
034020.KS 3티어 에너지/원전
375500.KS 3티어 건설
006800.KS 3티어 금융/증권
015760.KS 2티어 에너지/전력
035760.KQ 3티어 엔터
003490.KS 3티어 항공
010140.KS 3티어 건설
014820.KS 3티어 2차전지
090430.KS 3티어 화장품
068270.KS 3티어 바이오/제약
018260.KS 2티어 테크/SI로봇
214450.KQ 3티어 화장품
005380.KS 2티어 자동차/로봇
079550.KS 2티어 방산
277810.KQ 3티어 로봇
009150.KS 2티어 반도체기판/부품
012450.KS 3티어 항공우주
009830.KS 3티어 에너지/신재생
005490.KS 3티어 에너지
145020.KQ 3티어 바이오/화장품
ZZZZZ
